param_regressor__max_depth,param_regressor__min_samples_leaf,param_regressor__min_samples_split,Mean CV MAE,Std CV MAE,Mean Train MAE,rank_test_score
8,5,4,891077.9280157273,91264.32987577636,653011.4768947047,207
8,5,10,891077.9280157273,91264.32987577636,653011.4768947047,207
8,5,8,891077.9280157273,91264.32987577636,653011.4768947047,207
10,8,2,891713.2622725153,53408.38926172555,701600.0307551001,212
10,8,8,891713.2622725153,53408.38926172555,701600.0307551001,212
10,8,5,891713.2622725153,53408.38926172555,701600.0307551001,212
10,8,15,891713.2622725153,53408.38926172555,701600.0307551001,212
10,8,4,891713.2622725153,53408.38926172555,701600.0307551001,212
10,8,10,891713.2622725153,53408.38926172555,701600.0307551001,212
7,2,2,897260.7972804774,43181.988370693114,619917.004417831,218
7,2,4,897260.7972804774,43181.988370693114,619917.004417831,218
10,2,20,899762.9368515259,78259.10128952288,639641.8680120411,220
7,2,5,901338.767577507,53017.918360422715,627732.5978584251,221
7,2,8,901519.5008538347,70573.75422318374,655331.6944213671,222
10,3,20,903555.9056475246,60741.74717427157,657569.8183720289,223
7,1,10,905625.5777944758,75125.75146849545,669708.5476577304,224
7,3,8,908640.6421350997,78186.57826449466,670151.1700171984,225
7,3,10,911613.6550613923,79189.21034720319,695149.1381277594,226
7,2,10,912424.6078823945,73199.46923016262,683988.3971146721,227
9,8,8,912907.8060334411,55193.965923913944,717820.8199854506,228
9,8,5,912907.8060334411,55193.965923913944,717820.8199854506,228
9,8,15,912907.8060334411,55193.965923913944,717820.8199854506,228
9,8,10,912907.8060334411,55193.965923913944,717820.8199854506,228
9,8,2,912907.8060334411,55193.965923913944,717820.8199854506,228
9,8,4,912907.8060334411,55193.965923913944,717820.8199854506,228
9,1,20,913555.883812879,82296.9056738073,660968.7107417602,234
8,5,15,914452.8058354625,82539.07223217648,692173.1906944212,235
20,8,20,915844.2773038449,86781.07578961812,724994.9598034776,236
,8,20,915844.2773038449,86781.07578961812,724994.9598034776,236
15,8,20,915844.2773038449,86781.07578961812,724994.9598034776,236
9,3,20,916527.1302847645,65867.75192998929,682989.7771524347,239
12,8,20,921115.7146958516,85294.15466005476,730409.8683251722,240
9,2,20,921255.3250537055,78420.29344026164,671598.9614301892,241
6,1,2,921562.124236927,71623.45841262247,716601.805546947,242
12,5,20,922217.6157431451,70143.93050888034,683185.3688874196,243
,5,20,922601.9670892989,73937.82445221287,677277.5669786634,244
20,5,20,922601.9670892989,73937.82445221287,677277.5669786634,244
15,5,20,923380.9357361638,72763.06518842532,677709.2006420298,246
7,3,15,930773.2192678129,62757.49483251574,745251.0567344554,247
10,8,20,932722.524521752,82989.61728106606,742738.3190781835,248
7,2,15,934224.2951725522,58610.634985813165,736047.6824044648,249
6,1,4,934433.41136564,75765.43828099793,722888.9340948018,250
10,5,20,937734.0497890149,69331.97231325637,701830.0122453532,251
7,5,4,938756.6307635416,76749.72210522446,739912.2485857819,252
7,5,10,938756.6307635416,76749.72210522446,739912.2485857819,252
7,5,5,938756.6307635416,76749.72210522446,739912.2485857819,252
7,5,8,938756.6307635416,76749.72210522446,739912.2485857819,252
7,5,2,938756.6307635416,76749.72210522446,739912.2485857819,252
8,8,8,939072.4574084604,58968.493230657536,757848.3700068217,257
8,8,2,939072.4574084604,58968.493230657536,757848.3700068217,257
8,8,4,939072.4574084604,58968.493230657536,757848.3700068217,257
8,8,15,939072.4574084604,58968.493230657536,757848.3700068217,257
8,8,5,939072.4574084604,58968.493230657536,757848.3700068217,257
8,8,10,939072.4574084604,58968.493230657536,757848.3700068217,257
6,1,5,947901.5076802714,64393.11972798381,736707.002535396,263
8,1,20,948432.8629307477,87764.56122261091,722653.4326956839,264
9,8,20,953227.4848140462,80960.5374945932,757810.6678914204,265
8,3,20,954369.1646530147,76448.06478886846,735756.337160884,266
9,5,20,954719.1600123927,71884.44187888192,725423.577202622,267
6,1,8,955950.0142840747,63778.809229796105,761879.1531742455,268
7,1,15,957575.9389981783,48040.98138712573,734113.4241549954,269
8,2,20,959218.8025100168,83069.60238757693,732274.128366266,270
,10,20,959895.482566239,78604.86054077768,776038.7524678716,271
,10,15,959895.482566239,78604.86054077768,776038.7524678716,271
,10,10,959895.482566239,78604.86054077768,776038.7524678716,271
,10,8,959895.482566239,78604.86054077768,776038.7524678716,271
,10,5,959895.482566239,78604.86054077768,776038.7524678716,271
,10,4,959895.482566239,78604.86054077768,776038.7524678716,271
,10,2,959895.482566239,78604.86054077768,776038.7524678716,271
20,10,20,959895.482566239,78604.86054077768,776038.7524678716,271
20,10,15,959895.482566239,78604.86054077768,776038.7524678716,271
15,10,2,959895.482566239,78604.86054077768,776038.7524678716,271
20,10,10,959895.482566239,78604.86054077768,776038.7524678716,271
15,10,5,959895.482566239,78604.86054077768,776038.7524678716,271
15,10,15,959895.482566239,78604.86054077768,776038.7524678716,271
15,10,10,959895.482566239,78604.86054077768,776038.7524678716,271
15,10,8,959895.482566239,78604.86054077768,776038.7524678716,271
15,10,20,959895.482566239,78604.86054077768,776038.7524678716,271
15,10,4,959895.482566239,78604.86054077768,776038.7524678716,271
20,10,5,959895.482566239,78604.86054077768,776038.7524678716,271
20,10,4,959895.482566239,78604.86054077768,776038.7524678716,271
20,10,2,959895.482566239,78604.86054077768,776038.7524678716,271
20,10,8,959895.482566239,78604.86054077768,776038.7524678716,271
12,10,10,960426.762954341,79665.17622224889,778998.4253728936,292
12,10,8,960426.762954341,79665.17622224889,778998.4253728936,292
12,10,5,960426.762954341,79665.17622224889,778998.4253728936,292
12,10,4,960426.762954341,79665.17622224889,778998.4253728936,292
12,10,2,960426.762954341,79665.17622224889,778998.4253728936,292
12,10,15,960426.762954341,79665.17622224889,778998.4253728936,292
12,10,20,960426.762954341,79665.17622224889,778998.4253728936,292
7,5,15,961088.4477098789,67038.03201841988,774139.247079788,299
10,10,2,971501.460233828,75880.02467383067,789193.1473318513,300
10,10,20,971501.460233828,75880.02467383067,789193.1473318513,300
10,10,15,971501.460233828,75880.02467383067,789193.1473318513,300
10,10,4,971501.460233828,75880.02467383067,789193.1473318513,300
10,10,5,971501.460233828,75880.02467383067,789193.1473318513,300
10,10,8,971501.460233828,75880.02467383067,789193.1473318513,300
10,10,10,971501.460233828,75880.02467383067,789193.1473318513,300
6,1,10,975940.4079663001,84949.8735663338,790770.0442417451,307
6,2,4,978120.409886751,55519.87452663012,752131.4109934513,308
6,2,2,978120.409886751,55519.87452663012,752131.4109934513,308
8,8,20,980209.9516920606,77394.73588716952,796170.8227662923,310
6,2,5,980942.1915699191,51578.376168018156,757533.6380974117,311
6,3,4,982374.4266653095,59231.85006322104,786134.9732937458,312
6,3,5,982374.4266653095,59231.85006322104,786134.9732937458,312
6,3,2,982374.4266653095,59231.85006322104,786134.9732937458,312
9,10,5,984952.3296374656,79728.86834026812,802240.2128756515,315
9,10,2,984952.3296374656,79728.86834026812,802240.2128756515,315
9,10,4,984952.3296374656,79728.86834026812,802240.2128756515,315
9,10,20,984952.3296374656,79728.86834026812,802240.2128756515,315
9,10,10,984952.3296374656,79728.86834026812,802240.2128756515,315
9,10,8,984952.3296374656,79728.86834026812,802240.2128756515,315
9,10,15,984952.3296374656,79728.86834026812,802240.2128756515,315
6,3,8,988510.6474573888,66716.06171211782,789297.1020066172,322
6,2,8,988934.833729278,64285.03777604692,777990.84453777,323
7,8,4,992229.5115750829,44942.52703284875,831057.5421169513,324
7,8,10,992229.5115750829,44942.52703284875,831057.5421169513,324
7,8,2,992229.5115750829,44942.52703284875,831057.5421169513,324
7,8,5,992229.5115750829,44942.52703284875,831057.5421169513,324
7,8,8,992229.5115750829,44942.52703284875,831057.5421169513,324
7,8,15,992229.5115750829,44942.52703284875,831057.5421169513,324
6,3,10,992908.7497676198,77656.90490164241,808988.6379114577,330
6,2,10,993881.9105798202,75165.13015246,800820.6942332753,331
8,5,20,995011.7567072473,76320.11111204259,767833.5260950474,332
12,15,2,1000727.9619335899,89798.79429651593,888166.2426348284,333
12,15,8,1000727.9619335899,89798.79429651593,888166.2426348284,333
12,15,5,1000727.9619335899,89798.79429651593,888166.2426348284,333
12,15,20,1000727.9619335899,89798.79429651593,888166.2426348284,333
12,15,15,1000727.9619335899,89798.79429651593,888166.2426348284,333
12,15,10,1000727.9619335899,89798.79429651593,888166.2426348284,333
12,15,4,1000727.9619335899,89798.79429651593,888166.2426348284,333
,15,4,1000771.9598627945,89785.96991283447,887790.167663078,340
,15,8,1000771.9598627945,89785.96991283447,887790.167663078,340
,15,5,1000771.9598627945,89785.96991283447,887790.167663078,340
20,15,20,1000771.9598627945,89785.96991283447,887790.167663078,340
,15,10,1000771.9598627945,89785.96991283447,887790.167663078,340
20,15,10,1000771.9598627945,89785.96991283447,887790.167663078,340
20,15,8,1000771.9598627945,89785.96991283447,887790.167663078,340
20,15,5,1000771.9598627945,89785.96991283447,887790.167663078,340
15,15,15,1000771.9598627945,89785.96991283447,887790.167663078,340
15,15,5,1000771.9598627945,89785.96991283447,887790.167663078,340
15,15,8,1000771.9598627945,89785.96991283447,887790.167663078,340
15,15,10,1000771.9598627945,89785.96991283447,887790.167663078,340
20,15,15,1000771.9598627945,89785.96991283447,887790.167663078,340
,15,2,1000771.9598627945,89785.96991283447,887790.167663078,340
,15,15,1000771.9598627945,89785.96991283447,887790.167663078,340
15,15,4,1000771.9598627945,89785.96991283447,887790.167663078,340
15,15,2,1000771.9598627945,89785.96991283447,887790.167663078,340
15,15,20,1000771.9598627945,89785.96991283447,887790.167663078,340
,15,20,1000771.9598627945,89785.96991283447,887790.167663078,340
20,15,2,1000771.9598627945,89785.96991283447,887790.167663078,340
20,15,4,1000771.9598627945,89785.96991283447,887790.167663078,340
10,15,20,1002735.6961451501,87808.07921679683,892428.1066960671,361
10,15,4,1002735.6961451501,87808.07921679683,892428.1066960671,361
10,15,15,1002735.6961451501,87808.07921679683,892428.1066960671,361
10,15,8,1002735.6961451501,87808.07921679683,892428.1066960671,361
10,15,10,1002735.6961451501,87808.07921679683,892428.1066960671,361
10,15,2,1002735.6961451501,87808.07921679683,892428.1066960671,361
10,15,5,1002735.6961451501,87808.07921679683,892428.1066960671,361
8,10,8,1008449.0582914762,68429.85290635448,837875.1077333891,368
8,10,4,1008449.0582914762,68429.85290635448,837875.1077333891,368
8,10,2,1008449.0582914762,68429.85290635448,837875.1077333891,368
8,10,5,1008449.0582914762,68429.85290635448,837875.1077333891,368
8,10,20,1008449.0582914762,68429.85290635448,837875.1077333891,368
